Outlet,Group 1 Wins,Group 2 Wins,Full Address,Postal Code,Area,Latitude,Longitude,Group 1 Percentile Rank,Group 2 Percentile Rank,Luckiness
Livewire (Resorts World Sentosa),7,35,"Resorts World Sentosa, 8 Sentosa Gateway, Singapore 098269, Singapore",98269.0,Southern Islands,1.2569732,103.8199962,85.77464788732394,88.02816901408451,8.690140845070422
Livewire (Marina Bay Sands),7,25,"Ippudo, 2 Bayfront Avenue, Singapore 018972, Singapore",18972.0,Downtown Core,1.2849822,103.8603664,85.77464788732394,73.80281690140845,7.978873239436619
Lee Eng Trading Store,7,30,"201B Tampines Street 21, Singapore 522201, Singapore",522201.0,Tampines,1.353252,103.9530247,85.77464788732394,81.97183098591549,8.387323943661972
Giant Sunshine Place,7,23,"458 Choa Chu Kang Avenue 4, Singapore 680458, Singapore",680458.0,Choa Chu Kang,1.3781087,103.7362,85.77464788732394,70.28169014084507,7.802816901408451
Evercool Engineering,7,23,"95 Lorong 4 Toa Payoh, Singapore 310095, Singapore",310095.0,Toa Payoh,1.3392316,103.849046,85.77464788732394,70.28169014084507,7.802816901408451
Xie Sheng Dept Service Co,6,22,"632 Bedok Reservoir Road, Singapore 470632, Singapore",470632.0,Bedok,1.332397,103.9146989,79.85915492957747,67.6056338028169,7.373239436619718
Vitatron & Medical Co,6,22,"60 Smith Street, Singapore 058968, Singapore",58968.0,Outram,1.2828995,103.8433133,79.85915492957747,67.6056338028169,7.373239436619718
Tay Sui Lan Agency,6,34,"The Arcade, 11 Collyer Quay, Singapore 049317, Singapore",49317.0,Downtown Core,1.2837058,103.8518051,79.85915492957747,87.04225352112675,8.345070422535212
Soh Choo Trading,6,28,"19 Marsiling Lane, Singapore 730019, Singapore",730019.0,Woodlands,1.4434316,103.7773369,79.85915492957747,79.01408450704224,7.943661971830986
Singapore Pools Woodlands N3 Branch,6,35,"305 Woodlands Street 31, Singapore 730305, Singapore",730305.0,Woodlands,1.4304237,103.7739168,79.85915492957747,88.02816901408451,8.3943661971831
Singapore Pools Tampines N4 Branch,6,15,"481 Tampines Street 44, Singapore 520481, Singapore",520481.0,Tampines,1.3616519,103.9532662,79.85915492957747,48.02816901408451,6.394366197183099
Singapore Pools Pasir Ris N2 Branch,6,33,"Pasir Ris Drive 1, Singapore 518070, Singapore",518070.0,Pasir Ris,1.3720937,103.9473728,79.85915492957747,85.91549295774648,8.288732394366198
Singapore Pools Lor 25A Geylang Branch,6,40,"Singapore Pools, Lorong 25A Geylang, Singapore 388250, Singapore",388250.0,Geylang,1.3155499,103.8831957,79.85915492957747,92.53521126760563,8.619718309859156
Singapore Pools Hougang N3 Branch,6,17,"322 Hougang Avenue 5, Singapore 530322, Singapore",530322.0,Hougang,1.3670641,103.8975025,79.85915492957747,54.7887323943662,6.732394366197184
Singapore Pools Gek Poh Shopping Centre,6,36,"Gek Poh Shopping Centre, 762 Jurong West Street 75, Singapore 640762, Singapore",640762.0,Jurong West,1.3492289,103.6974381,79.85915492957747,89.1549295774648,8.450704225352114
Singapore Pools Bishan N2 Branch,6,25,"Suwen TCM Clinic Pte Ltd, 215H Upper Thomson Road, Singapore 574355, Singapore",574355.0,Bishan,1.3525845,103.8352116,79.85915492957747,73.80281690140845,7.683098591549296
Singapore Pools Bedok Town Centre Branch,6,41,"212 Bedok North Street 1, Singapore 460212, Singapore",460212.0,Bedok,1.3259118,103.9315981,79.85915492957747,93.80281690140845,8.683098591549296
Singapore Pools Ang Mo Kio N6 Branch,6,28,"630 Ang Mo Kio Street 61, Singapore 560632, Singapore",560632.0,Ang Mo Kio,1.3804423,103.841199,79.85915492957747,79.01408450704224,7.943661971830986
Singapore Pools Ang Mo Kio N2 Branch,6,31,"North-South Corridor, Singapore 560728, Singapore",560728.0,Ang Mo Kio,1.3691149,103.8454342,79.85915492957747,83.38028169014085,8.161971830985916
Seah Koon Huat (Bukit Merah View),6,21,"116 Bukit Merah View, Singapore 150116, Singapore",150116.0,Bukit Merah,1.2850887,103.8212897,79.85915492957747,64.92957746478874,7.23943661971831
Prime Punggol Field,6,19,"Blk 102B, 102B Punggol Field, Singapore 820198, Singapore",820198.0,Punggol,1.399453,103.905639,79.85915492957747,60.70422535211267,7.028169014084507
NTUC FP Sun Plaza,6,27,"Sun Plaza, 30 Sembawang Drive, Singapore 757713, Singapore",757713.0,Sembawang,1.4481787,103.8194632,79.85915492957747,77.1830985915493,7.852112676056339
NTUC FP Serangoon North Avenue 1,6,22,"152B Serangoon North Avenue 1, Singapore 550152, Singapore",550152.0,Serangoon,1.3698238,103.8728765,79.85915492957747,67.6056338028169,7.373239436619718
NTUC FP Bukit Merah Central,6,29,"166 Bukit Merah Central, Singapore 150166, Singapore",150166.0,Bukit Merah,1.2831068,103.8178359,79.85915492957747,80.70422535211267,8.028169014084508
Metro Woodlands,6,22,"101 Woodlands Street 13, Singapore 730101, Singapore",730101.0,Woodlands,1.4361425,103.783,79.85915492957747,67.6056338028169,7.373239436619718
Kis Store,6,15,"Spectacle Culture, South Bridge Road, Singapore 058727, Singapore",58727.0,Outram,1.2846544,103.8468237,79.85915492957747,48.02816901408451,6.394366197183099
Hin Teck Leong Trading Company,6,0,"Little India, Rochor Canal Road, Singapore 188505, Singapore",188505.0,Rochor,1.3078063,103.8522,79.85915492957747,0.5633802816901409,4.021126760563381
Chua Yan Kee,6,8,"49 Commonwealth Drive, Singapore 142049, Singapore",142049.0,Queenstown,1.3006782,103.7972567,79.85915492957747,24.929577464788732,5.23943661971831
Chng Siow Eng Agency,6,22,"Elias Mall, 625 Elias Road, Singapore 510625, Singapore",510625.0,Pasir Ris,1.3786144,103.9420438,79.85915492957747,67.6056338028169,7.373239436619718
Cheers Hougang Central,6,31,"811, CP, Singapore 530809, Singapore",530809.0,Hougang,1.3715527,103.8936459,79.85915492957747,83.38028169014085,8.161971830985916
Cheers Changi Village Road,6,36,"4 Changi Village Road, Singapore 500004, Singapore",500004.0,Changi,1.3891466,103.9874204,79.85915492957747,89.1549295774648,8.450704225352114
Wong Teck Chow Enterprise (Pte) Ltd,5,4,"Golden Landmark Shopping Centre, 390 Victoria Street, Singapore 188061, Singapore",188061.0,Rochor,1.3020404,103.8576952,71.83098591549296,15.352112676056336,4.359154929577465
Teo Sook Cheng Agency,5,53,"#01-261 Blk 293 Yishun St 22, Singapore 760264, Singapore",760264.0,Yishun,1.4359338,103.8380677,71.83098591549296,97.46478873239437,8.464788732394366
Singapore Pools Woodlands N5 Branch,5,28,"#01-37 Blk 548 Woodlands Drive 44, Vista Point, Singapore 730530, Singapore",730530.0,Woodlands,1.4313546,103.7940534,71.83098591549296,79.01408450704224,7.54225352112676
Singapore Pools Woodlands 888 Branch,5,37,"Woodlands Avenue 2, Singapore 738526, Singapore",738526.0,Woodlands,1.4381922,103.7889597,71.83098591549296,90.0,8.091549295774648
Singapore Pools Siglap Branch,5,16,"697D East Coast Road, Singapore 459062, Singapore",459062.0,Frankel,1.3120257,103.9221698,71.83098591549296,52.112676056338024,6.197183098591549
Singapore Pools Potong Pasir Branch,5,12,"62 Potong Pasir Avenue 1, Singapore 350121, Singapore",350121.0,Toa Payoh,1.3360597,103.8648815,71.83098591549296,37.74647887323944,5.47887323943662
Singapore Pools Jurong West N2 Branch,5,14,"Boon Lay Way, Singapore 642697, Singapore",642697.0,Jurong West,1.3403898,103.7089875,71.83098591549296,43.94366197183099,5.788732394366198
Singapore Pools Jurong East Branch,5,37,"351 Jurong East Street 31, Singapore 600351, Singapore",600351.0,Jurong East,1.3447228,103.7308172,71.83098591549296,90.0,8.091549295774648
Singapore Pools Clementi Town Centre Branch,5,52,"446 Clementi Avenue 3, Singapore 120446, Singapore",120446.0,Clementi,1.3123803,103.764809,71.83098591549296,97.1830985915493,8.450704225352112
Singapore Pools Choa Chu Kang Branch,5,38,"689B Choa Chu Kang Drive, Singapore 681672, Singapore",681672.0,Yew Tee,1.4030224,103.7497915,71.83098591549296,90.70422535211267,8.126760563380282
Singapore Pools Bukit Panjang Branch,5,35,"Blk 257 Bangkit Road, Singapore 670256, Singapore",670256.0,Bukit Panjang,1.3785549,103.7729193,71.83098591549296,88.02816901408451,7.992957746478874
Singapore Pools Ang Mo Kio N4 Branch,5,36,"447 Ang Mo Kio Avenue 10, Singapore 560447, Singapore",560447.0,Ang Mo Kio,1.3674091,103.8560374,71.83098591549296,89.1549295774648,8.049295774647888
Singapore Pools 64 Circuit Rd Branch,5,10,"64 Circuit Road, Singapore 370064, Singapore",370064.0,Geylang,1.3271128,103.8871285,71.83098591549296,29.718309859154928,5.077464788732394
Sheng Siong Junction 9,5,10,"Junction Nine, Yishun Avenue 9, Singapore 768897, Singapore",768897.0,Yishun,1.4332086,103.8419101,71.83098591549296,29.718309859154928,5.077464788732394
Prime Chai Chee,5,11,"750B Chai Chee Road, Singapore 460027, Singapore",460027.0,Bedok,1.3232446,103.9215,71.83098591549296,33.80281690140845,5.28169014084507
NTUC FP Yishun Ring Rd,5,26,"414 Yishun Ring Road, Singapore 760413, Singapore",760413.0,Yishun,1.4245498,103.8466415,71.83098591549296,75.77464788732394,7.380281690140845
NTUC FP White Sands,5,31,"570 Pasir Ris Street 53, Singapore 510570, Singapore",510570.0,Pasir Ris,1.3725642,103.9469,71.83098591549296,83.38028169014085,7.76056338028169
NTUC FP Havelock Road,5,4,"50 Beo Crescent, Singapore 160050, Singapore",160050.0,Bukit Merah,1.2898284,103.8267171,71.83098591549296,15.352112676056336,4.359154929577465
NTUC FP Boon Lay Place,5,40,"Jalan Buroh, Singapore 619175, Singapore",619175.0,Boon Lay,1.3142556,103.7093099,71.83098591549296,92.53521126760563,8.21830985915493
Ng Nam Thye Trading,5,21,"Taman Jurong Shopping Centre, 399 Yung Sheng Road, Singapore 610399, Singapore",610399.0,Jurong West,1.3345709,103.72059,71.83098591549296,64.92957746478874,6.838028169014085
Nan Huat Wine Store,5,32,"513 Bishan Street 13, Singapore 570513, Singapore",570513.0,Bishan,1.3495879,103.8494614,71.83098591549296,84.64788732394366,7.82394366197183
Lucky Hill,5,11,"Radin Mas Primary School, 1 Bukit Purmei Avenue, Singapore 099840, Singapore",99840.0,Bukit Merah,1.2745295,103.8233,71.83098591549296,33.80281690140845,5.28169014084507
Giant Parkway Parade,5,16,"Parkway Parade, 80 Marine Parade Road, Singapore 449269, Singapore",449269.0,Marine Parade,1.3013366,103.9052333,71.83098591549296,52.112676056338024,6.197183098591549
Everstream Trading,5,38,"283 Bukit Batok East Avenue 3, Singapore 650283, Singapore",650283.0,Bukit Batok,1.3471972,103.7576875,71.83098591549296,90.70422535211267,8.126760563380282
Dawn Florist,5,18,"Western Islands, Southwest, Singapore",,Western Islands,1.2745282,103.7433,71.83098591549296,57.183098591549296,6.450704225352112
Cold Storage Northpoint,5,25,"Northpoint City, 930 Yishun Avenue 2, Singapore 769098, Singapore",769098.0,Yishun,1.4293478,103.8358671,71.83098591549296,73.80281690140845,7.28169014084507
Clifford Gift Shop,5,32,"532 Ang Mo Kio Avenue 10, Singapore 560532, Singapore",560532.0,Ang Mo Kio,1.3738269,103.8551874,71.83098591549296,84.64788732394366,7.82394366197183
Cheers New Upper Changi Rd,5,20,"Sky Eden@Bedok (U/C), 799 New Upper Changi Road, Singapore 467351, Singapore",467351.0,Bedok,1.325244,103.932204,71.83098591549296,63.38028169014085,6.76056338028169
Afro Asia Co Pte Ltd,5,14,"322 Tengah Drive, Singapore 690322, Singapore",690322.0,Park,1.3651116,103.7381,71.83098591549296,43.94366197183099,5.788732394366198
7-Eleven Sixth Avenue,5,11,"11 Maple Avenue, Singapore 279886, Singapore",279886.0,Bukit Timah,1.3311169,103.7926,71.83098591549296,33.80281690140845,5.28169014084507
7-Eleven Owen Road,5,13,"44 Dorset Road, Singapore 218953, Singapore",218953.0,Kallang,1.3158217,103.8507664,71.83098591549296,40.985915492957744,5.640845070422535
Yeo Soon Huat,4,9,"70 Lorong 4 Toa Payoh, Singapore 310070, Singapore",310070.0,Toa Payoh,1.3343937,103.8524032,61.408450704225345,26.901408450704224,4.415492957746478
U Stars Sumang Walk,4,2,"Matilda Portico, 218 Sumang Walk, Singapore 820218, Singapore",820218.0,Punggol,1.4032997,103.8950457,61.408450704225345,7.746478873239436,3.457746478873239
Tuck Lee Long,4,19,"159 Ang Mo Kio Avenue 4, Singapore 560616, Singapore",560616.0,Ang Mo Kio,1.374789,103.8398767,61.408450704225345,60.70422535211267,6.105633802816901
Teo Khar Bee Agency,4,26,"72 Redhill Road, Singapore 150072, Singapore",150072.0,Bukit Merah,1.2872356,103.8162,61.408450704225345,75.77464788732394,6.859154929577464
Tay Ah Tho Trading,4,19,"768 Woodlands Avenue 6, Singapore 732799, Singapore",732799.0,Woodlands,1.445962,103.798159,61.408450704225345,60.70422535211267,6.105633802816901
Tan Kai Huat Provision Shop,4,14,"123 Hougang Avenue 1, Singapore 530123, Singapore",530123.0,Hougang,1.3533485,103.8861709,61.408450704225345,43.94366197183099,5.267605633802817
Singapore Pools Silat Ave Branch,4,11,"150 Silat Avenue, Singapore 160150, Singapore",160150.0,Bukit Merah,1.2770211,103.8314085,61.408450704225345,33.80281690140845,4.76056338028169
Singapore Pools LOT One Branch,4,11,"Lot One Shoppers' Mall, 21 Choa Chu Kang Avenue 4, Singapore 689812, Singapore",689812.0,Choa Chu Kang,1.3849961,103.7451511,61.408450704225345,33.80281690140845,4.76056338028169
Singapore Pools Jalan Tiga Branch,4,33,"41 Jalan Tiga, Singapore 390041, Singapore",390041.0,Geylang,1.3078367,103.8847076,61.408450704225345,85.91549295774648,7.366197183098592
Singapore Pools Ghim Moh Branch,4,13,"21 Ghim Moh Road, Singapore 270021, Singapore",270021.0,Queenstown,1.3100933,103.7884694,61.408450704225345,40.985915492957744,5.119718309859154
Singapore Pools Geylang Bahru Branch,4,16,"68 Geylang Bahru, Singapore 330068, Singapore",330068.0,Kallang,1.3222623,103.8704758,61.408450704225345,52.112676056338024,5.676056338028168
Singapore Pools Funan Branch,4,6,"Funan, 107 North Bridge Road, Singapore 179105, Singapore",179105.0,Downtown Core,1.2912647,103.8501932,61.408450704225345,20.845070422535212,4.112676056338028
Singapore Pools Chinatown Point Branch,4,55,"3 McCallum Street, Singapore 069047, Singapore",69047.0,Downtown Core,1.2796704,103.8475525,61.408450704225345,98.02816901408451,7.971830985915493
Singapore Pools Chin Swee Branch,4,14,"53 Chin Swee Road, Singapore 160053, Singapore",160053.0,Outram,1.2876753,103.8415514,61.408450704225345,43.94366197183099,5.267605633802817
Singapore Pools Cheong Chin Nam Rd Branch,4,21,"5 Cheong Chin Nam Road, Singapore 599744, Singapore",599744.0,Hillview,1.3424696,103.7753346,61.408450704225345,64.92957746478874,6.316901408450704
Singapore Pools Bukit Batok Central Branch,4,39,"642 Bukit Batok Central, Singapore 650642, Singapore",650642.0,Bukit Batok,1.3489923,103.7517942,61.408450704225345,91.40845070422536,7.640845070422534
Singapore Pools Beo Crescent Branch,4,20,"36 Beo Crescent, Singapore 160040, Singapore",160040.0,Bukit Merah,1.2883928,103.8270797,61.408450704225345,63.38028169014085,6.23943661971831
Singapore Pools Bedok North Branch,4,22,"Bedok North Road, Singapore 460516, Singapore",460516.0,Bedok,1.3306806,103.9305125,61.408450704225345,67.6056338028169,6.450704225352112
Singapore Pools 88 Circuit Rd Branch,4,21,"88 Pipit Road, Singapore 370088, Singapore",370088.0,Geylang,1.3236883,103.8858681,61.408450704225345,64.92957746478874,6.316901408450704
Sheng Moh Fruits & Provision Store,4,9,"1A Jalan Mas Puteh, Singapore 128607, Singapore",128607.0,Clementi,1.3083357,103.7621136,61.408450704225345,26.901408450704224,4.415492957746478
Prime Keat Hong,4,13,"Keat Hong Shopping Centre, 253 Choa Chu Kang Avenue 1, Singapore 680253, Singapore",680253.0,Choa Chu Kang,1.3780745,103.7442567,61.408450704225345,40.985915492957744,5.119718309859154
OCN (Singapore) Pte Ltd,4,30,"Hotel Clover Hongkong Street, Central Water Catchment, Singapore",,Central Water Catchment,1.352083,103.819836,61.408450704225345,81.97183098591549,7.169014084507042
NTUC FP Yung Kuang Road,4,15,"65 Yung Kuang Road, Singapore 610065, Singapore",610065.0,Jurong West,1.3322984,103.7226983,61.408450704225345,48.02816901408451,5.471830985915493
NTUC FP Warehouse Club,4,15,"82 Joo Koon Circle, Singapore 638356, Singapore",638356.0,Pioneer,1.3272042,103.6761,61.408450704225345,48.02816901408451,5.471830985915493
NTUC FP Thomson Plaza,4,33,"Thomson Plaza, 301 Upper Thomson Road, Singapore 574408, Singapore",574408.0,Bishan,1.3548,103.8308,61.408450704225345,85.91549295774648,7.366197183098592
NTUC FP Marine Parade Central,4,9,"84 Marine Parade Central, Singapore 440084, Singapore",440084.0,Marine Parade,1.302042,103.9065384,61.408450704225345,26.901408450704224,4.415492957746478
NTUC FP Lorong 4 Toa Payoh,4,15,"192 Lorong 4 Toa Payoh, Singapore 310192, Singapore",310192.0,Toa Payoh,1.3318475,103.8507613,61.408450704225345,48.02816901408451,5.471830985915493
NTUC FP E!Hub @ Downtown East,4,13,"Downtown East, 1 Pasir Ris Close, Singapore 519599, Singapore",519599.0,Pasir Ris,1.3774243,103.9549567,61.408450704225345,40.985915492957744,5.119718309859154
