Outlet,Group 1 Wins,Group 2 Wins,Full Address,Postal Code,Area,Latitude,Longitude,Group 1 Z-Score,Group 2 Z-Score,Luckiness Index
Singapore Pools Lor 8 Toa Payoh Branch,8,24,"212 Lorong 8 Toa Payoh, Singapore 310212, Singapore",310212.0,Toa Payoh,1.3406805,103.8542859,1.391473691013838,0.40629782876658627,0.8988857598902122
Singapore Pools Jurong West N4 Branch,8,41,"498 Jurong West Street 41, Singapore 640498, Singapore",640498.0,Jurong West,1.3488039,103.7244554,1.391473691013838,1.6113743854532872,1.5014240382335626
Singapore Pools Chinatown Branch,8,54,"3 McCallum Street, Singapore 069047, Singapore",69047.0,Downtown Core,1.2796704,103.8475525,1.391473691013838,2.532903517037235,1.9621886040255365
PFG Framing & Trading,8,33,"960 Jurong West Street 92, Singapore 640960, Singapore",640960.0,Jurong West,1.3413833,103.6917323,1.391473691013838,1.0442795352477807,1.2178766131308094
NTUC FP Yishun MRT Station,8,30,"Yishun Avenue 2, Singapore 769093, Singapore",769093.0,Yishun,1.429387,103.8350907,1.391473691013838,0.831618966420716,1.111546328717277
NTUC FP Lot 1 Shoppers Mall,8,24,"Lot One Shoppers' Mall, 21 Choa Chu Kang Avenue 4, Singapore 689812, Singapore",689812.0,Choa Chu Kang,1.384959,103.7451389,1.391473691013838,0.40629782876658627,0.8988857598902122
NTUC FP Bukit Batok MRT Station,8,23,"10 Bukit Batok Central, Singapore 659958, Singapore",659958.0,Bukit Batok,1.3490579,103.7496251,1.391473691013838,0.335410972490898,0.8634423317523681
NTUC FP Bedok North St 4,8,13,"89 Bedok North Avenue 4, Singapore 460089, Singapore",460089.0,Bedok,1.3320812,103.9382634,1.391473691013838,-0.3734575902659848,0.5090080503739267
Livewire (Singapore Pools),8,32,"Hotel Clover Hongkong Street, Central Water Catchment, Singapore",,Central Water Catchment,1.352083,103.819836,1.391473691013838,0.9733926789720926,1.1824331849929655
Cheers Harbourfront Centre,8,25,"HarbourFront Centre, 2 Maritime Square, Singapore 099253, Singapore",99253.0,Bukit Merah,1.2643689,103.8200727,1.391473691013838,0.47718468504227457,0.9343291880280563
Singapore Pools Serangoon Central Branch,7,36,"254 Serangoon Central Drive, Singapore 550254, Singapore",550254.0,Serangoon,1.3541926,103.8711495,1.0736790544855164,1.2569401040748456,1.1653095792801809
Singapore Pools New Upper Changi Branch,7,19,"26 New Upper Changi Road, Singapore 462026, Singapore",462026.0,Bedok,1.3232231,103.9341789,1.0736790544855164,0.05186354738814488,0.5627713009368306
Singapore Pools Lucky Plaza Branch,7,45,"Lucky Plaza, 304 Orchard Road, Singapore 238863, Singapore",238863.0,Orchard,1.3046391,103.8341137,1.0736790544855164,1.8949218105560401,1.4843004325207783
Singapore Pools Jurong West N5 Branch,7,45,"508 Jurong West Avenue 1, Singapore 640508, Singapore",640508.0,Jurong West,1.3487409,103.7185553,1.0736790544855164,1.8949218105560401,1.4843004325207783
Singapore Pools Holland Drive Branch,7,45,"46 Holland Drive, Singapore 270046, Singapore",270046.0,Queenstown,1.3088172,103.7927834,1.0736790544855164,1.8949218105560401,1.4843004325207783
Singapore Pools Clementi N3 Branch,7,28,"325 Clementi Avenue 5, Singapore 120325, Singapore",120325.0,Clementi,1.3149354,103.7668267,1.0736790544855164,0.6898452538693394,0.8817621541774279
Singapore Pools Ang Mo Kio N7 Branch,7,41,"726 Ang Mo Kio Avenue 6, Singapore 560726, Singapore",560726.0,Ang Mo Kio,1.372754,103.8464776,1.0736790544855164,1.6113743854532872,1.3425267199694018
Singapore Pools Anchorvale Rd Branch,7,19,"308 Anchorvale Road, Singapore 540308, Singapore",540308.0,Seng Kang,1.3895484,103.8862946,1.0736790544855164,0.05186354738814488,0.5627713009368306
NTUC FP Tanjong Pagar Plaza,7,18,"Tanjong Pagar Plaza, 1 Tanjong Pagar Road, Singapore 082001, Singapore",82001.0,Outram,1.2758753,103.8430795,1.0736790544855164,-0.019023308887543406,0.5273278727989865
NTUC FP Jurong Point,7,72,"Jurong Point, 1 Jurong West Central 2, Singapore 648886, Singapore",648886.0,Jurong West,1.340096,103.7070117,1.0736790544855164,3.808866929999624,2.4412729922425704
NTUC FP Clementi Avenue 3,7,26,"451 Clementi Avenue 3, Singapore 120451, Singapore",120451.0,Clementi,1.3127067,103.7656936,1.0736790544855164,0.5480715413179629,0.8108752979017396
Livewire (Resorts World Sentosa),7,35,"Resorts World Sentosa, 8 Sentosa Gateway, Singapore 098269, Singapore",98269.0,Southern Islands,1.2569732,103.8199962,1.0736790544855164,1.1860532477991574,1.129866151142337
Livewire (Marina Bay Sands),7,25,"Ippudo, 2 Bayfront Avenue, Singapore 018972, Singapore",18972.0,Downtown Core,1.2849822,103.8603664,1.0736790544855164,0.47718468504227457,0.7754318697638954
Lee Eng Trading Store,7,30,"201B Tampines Street 21, Singapore 522201, Singapore",522201.0,Tampines,1.353252,103.9530247,1.0736790544855164,0.831618966420716,0.9526490104531162
Giant Sunshine Place,7,23,"458 Choa Chu Kang Avenue 4, Singapore 680458, Singapore",680458.0,Choa Chu Kang,1.3781087,103.7362,1.0736790544855164,0.335410972490898,0.7045450134882072
Evercool Engineering,7,23,"95 Lorong 4 Toa Payoh, Singapore 310095, Singapore",310095.0,Toa Payoh,1.3392316,103.849046,1.0736790544855164,0.335410972490898,0.7045450134882072
Xie Sheng Dept Service Co,6,22,"632 Bedok Reservoir Road, Singapore 470632, Singapore",470632.0,Bedok,1.332397,103.9146989,0.7558844179571946,0.2645241162152097,0.5102042670862021
Vitatron & Medical Co,6,22,"60 Smith Street, Singapore 058968, Singapore",58968.0,Outram,1.2828995,103.8433133,0.7558844179571946,0.2645241162152097,0.5102042670862021
Tay Sui Lan Agency,6,34,"The Arcade, 11 Collyer Quay, Singapore 049317, Singapore",49317.0,Downtown Core,1.2837058,103.8518051,0.7558844179571946,1.115166391523469,0.9355254047403319
Soh Choo Trading,6,28,"19 Marsiling Lane, Singapore 730019, Singapore",730019.0,Woodlands,1.4434316,103.7773369,0.7558844179571946,0.6898452538693394,0.722864835913267
Singapore Pools Woodlands N3 Branch,6,35,"305 Woodlands Street 31, Singapore 730305, Singapore",730305.0,Woodlands,1.4304237,103.7739168,0.7558844179571946,1.1860532477991574,0.970968832878176
Singapore Pools Tampines N4 Branch,6,15,"481 Tampines Street 44, Singapore 520481, Singapore",520481.0,Tampines,1.3616519,103.9532662,0.7558844179571946,-0.23168387771460824,0.2621002701212932
Singapore Pools Pasir Ris N2 Branch,6,33,"Pasir Ris Drive 1, Singapore 518070, Singapore",518070.0,Pasir Ris,1.3720937,103.9473728,0.7558844179571946,1.0442795352477807,0.9000819766024877
Singapore Pools Lor 25A Geylang Branch,6,40,"Singapore Pools, Lorong 25A Geylang, Singapore 388250, Singapore",388250.0,Geylang,1.3155499,103.8831957,0.7558844179571946,1.5404875291775988,1.1481859735673967
Singapore Pools Hougang N3 Branch,6,17,"322 Hougang Avenue 5, Singapore 530322, Singapore",530322.0,Hougang,1.3670641,103.8975025,0.7558844179571946,-0.08991016516323169,0.33298712639698147
Singapore Pools Gek Poh Shopping Centre,6,36,"Gek Poh Shopping Centre, 762 Jurong West Street 75, Singapore 640762, Singapore",640762.0,Jurong West,1.3492289,103.6974381,0.7558844179571946,1.2569401040748456,1.00641226101602
Singapore Pools Bishan N2 Branch,6,25,"Suwen TCM Clinic Pte Ltd, 215H Upper Thomson Road, Singapore 574355, Singapore",574355.0,Bishan,1.3525845,103.8352116,0.7558844179571946,0.47718468504227457,0.6165345514997346
Singapore Pools Bedok Town Centre Branch,6,41,"212 Bedok North Street 1, Singapore 460212, Singapore",460212.0,Bedok,1.3259118,103.9315981,0.7558844179571946,1.6113743854532872,1.183629401705241
Singapore Pools Ang Mo Kio N6 Branch,6,28,"630 Ang Mo Kio Street 61, Singapore 560632, Singapore",560632.0,Ang Mo Kio,1.3804423,103.841199,0.7558844179571946,0.6898452538693394,0.722864835913267
Singapore Pools Ang Mo Kio N2 Branch,6,31,"North-South Corridor, Singapore 560728, Singapore",560728.0,Ang Mo Kio,1.3691149,103.8454342,0.7558844179571946,0.9025058226964042,0.8291951203267994
Seah Koon Huat (Bukit Merah View),6,21,"116 Bukit Merah View, Singapore 150116, Singapore",150116.0,Bukit Merah,1.2850887,103.8212897,0.7558844179571946,0.19363725993952144,0.474760838948358
Prime Punggol Field,6,19,"Blk 102B, 102B Punggol Field, Singapore 820198, Singapore",820198.0,Punggol,1.399453,103.905639,0.7558844179571946,0.05186354738814488,0.4038739826726698
NTUC FP Sun Plaza,6,27,"Sun Plaza, 30 Sembawang Drive, Singapore 757713, Singapore",757713.0,Sembawang,1.4481787,103.8194632,0.7558844179571946,0.6189583975936511,0.6874214077754228
NTUC FP Serangoon North Avenue 1,6,22,"152B Serangoon North Avenue 1, Singapore 550152, Singapore",550152.0,Serangoon,1.3698238,103.8728765,0.7558844179571946,0.2645241162152097,0.5102042670862021
NTUC FP Bukit Merah Central,6,29,"166 Bukit Merah Central, Singapore 150166, Singapore",150166.0,Bukit Merah,1.2831068,103.8178359,0.7558844179571946,0.7607321101450277,0.7583082640511112
Metro Woodlands,6,22,"101 Woodlands Street 13, Singapore 730101, Singapore",730101.0,Woodlands,1.4361425,103.783,0.7558844179571946,0.2645241162152097,0.5102042670862021
Kis Store,6,15,"Spectacle Culture, South Bridge Road, Singapore 058727, Singapore",58727.0,Outram,1.2846544,103.8468237,0.7558844179571946,-0.23168387771460824,0.2621002701212932
Hin Teck Leong Trading Company,6,0,"Little India, Rochor Canal Road, Singapore 188505, Singapore",188505.0,Rochor,1.3078063,103.8522,0.7558844179571946,-1.2949867218499325,-0.2695511519463689
Chua Yan Kee,6,8,"49 Commonwealth Drive, Singapore 142049, Singapore",142049.0,Queenstown,1.3006782,103.7972567,0.7558844179571946,-0.7278918716444263,0.013996273156384187
Chng Siow Eng Agency,6,22,"Elias Mall, 625 Elias Road, Singapore 510625, Singapore",510625.0,Pasir Ris,1.3786144,103.9420438,0.7558844179571946,0.2645241162152097,0.5102042670862021
Cheers Hougang Central,6,31,"811, CP, Singapore 530809, Singapore",530809.0,Hougang,1.3715527,103.8936459,0.7558844179571946,0.9025058226964042,0.8291951203267994
Cheers Changi Village Road,6,36,"4 Changi Village Road, Singapore 500004, Singapore",500004.0,Changi,1.3891466,103.9874204,0.7558844179571946,1.2569401040748456,1.00641226101602
Wong Teck Chow Enterprise (Pte) Ltd,5,4,"Golden Landmark Shopping Centre, 390 Victoria Street, Singapore 188061, Singapore",188061.0,Rochor,1.3020404,103.8576952,0.43808978142887295,-1.0114392967471793,-0.2866747576591532
Teo Sook Cheng Agency,5,53,"#01-261 Blk 293 Yishun St 22, Singapore 760264, Singapore",760264.0,Yishun,1.4359338,103.8380677,0.43808978142887295,2.4620166607615466,1.4500532210952097
Singapore Pools Woodlands N5 Branch,5,28,"#01-37 Blk 548 Woodlands Drive 44, Vista Point, Singapore 730530, Singapore",730530.0,Woodlands,1.4313546,103.7940534,0.43808978142887295,0.6898452538693394,0.5639675176491061
Singapore Pools Woodlands 888 Branch,5,37,"Woodlands Avenue 2, Singapore 738526, Singapore",738526.0,Woodlands,1.4381922,103.7889597,0.43808978142887295,1.327826960350534,0.8829583708897034
Singapore Pools Siglap Branch,5,16,"697D East Coast Road, Singapore 459062, Singapore",459062.0,Frankel,1.3120257,103.9221698,0.43808978142887295,-0.16079702143891997,0.13864637999497648
Singapore Pools Potong Pasir Branch,5,12,"62 Potong Pasir Avenue 1, Singapore 350121, Singapore",350121.0,Toa Payoh,1.3360597,103.8648815,0.43808978142887295,-0.4443444465416731,-0.0031273325564000753
Singapore Pools Jurong West N2 Branch,5,14,"Boon Lay Way, Singapore 642697, Singapore",642697.0,Jurong West,1.3403898,103.7089875,0.43808978142887295,-0.30257073399029655,0.0677595237192882
Singapore Pools Jurong East Branch,5,37,"351 Jurong East Street 31, Singapore 600351, Singapore",600351.0,Jurong East,1.3447228,103.7308172,0.43808978142887295,1.327826960350534,0.8829583708897034
Singapore Pools Clementi Town Centre Branch,5,52,"446 Clementi Avenue 3, Singapore 120446, Singapore",120446.0,Clementi,1.3123803,103.764809,0.43808978142887295,2.3911298044858587,1.4146097929573658
Singapore Pools Choa Chu Kang Branch,5,38,"689B Choa Chu Kang Drive, Singapore 681672, Singapore",681672.0,Yew Tee,1.4030224,103.7497915,0.43808978142887295,1.3987138166262223,0.9184017990275476
Singapore Pools Bukit Panjang Branch,5,35,"Blk 257 Bangkit Road, Singapore 670256, Singapore",670256.0,Bukit Panjang,1.3785549,103.7729193,0.43808978142887295,1.1860532477991574,0.8120715146140152
