Outlet,Group 1 Wins,Group 2 Wins,Full Address,Postal Code,Area,Latitude,Longitude
NTUC FP Bukit Batok MRT Station,8,23,"10 Bukit Batok Central, Singapore 659958, Singapore",659958,Bukit Batok,1.3490579,103.7496251
NTUC FP Bedok North St 4,8,13,"89 Bedok North Avenue 4, Singapore 460089, Singapore",460089,Bedok,1.3320812,103.9382634
Livewire (Singapore Pools),8,32,"Hotel Clover Hongkong Street, Central Water Catchment, Singapore",,Central Water Catchment,1.352083,103.819836
Cheers Harbourfront Centre,8,25,"HarbourFront Centre, 2 Maritime Square, Singapore 099253, Singapore",099253,Bukit Merah,1.2643689,103.8200727
Singapore Pools Serangoon Central Branch,7,36,"254 Serangoon Central Drive, Singapore 550254, Singapore",550254,Serangoon,1.3541926,103.8711495
Singapore Pools New Upper Changi Branch,7,19,"26 New Upper Changi Road, Singapore 462026, Singapore",462026,Bedok,1.3232231,103.9341789
Singapore Pools Lucky Plaza Branch,7,45,"Lucky Plaza, 304 Orchard Road, Singapore 238863, Singapore",238863,Orchard,1.3046391,103.8341137
Singapore Pools Jurong West N5 Branch,7,45,"508 Jurong West Avenue 1, Singapore 640508, Singapore",640508,Jurong West,1.3487409,103.7185553
Singapore Pools Holland Drive Branch,7,45,"46 Holland Drive, Singapore 270046, Singapore",270046,Queenstown,1.3088172,103.7927834
Singapore Pools Clementi N3 Branch,7,28,"325 Clementi Avenue 5, Singapore 120325, Singapore",120325,Clementi,1.3149354,103.7668267
Singapore Pools Ang Mo Kio N7 Branch,7,41,"726 Ang Mo Kio Avenue 6, Singapore 560726, Singapore",560726,Ang Mo Kio,1.372754,103.8464776
Singapore Pools Anchorvale Rd Branch,7,19,"308 Anchorvale Road, Singapore 540308, Singapore",540308,Seng Kang,1.3895484,103.8862946
NTUC FP Tanjong Pagar Plaza,7,18,"Tanjong Pagar Plaza, 1 Tanjong Pagar Road, Singapore 082001, Singapore",082001,Outram,1.2758753,103.8430795
NTUC FP Jurong Point,7,72,"Jurong Point, 1 Jurong West Central 2, Singapore 648886, Singapore",648886,Jurong West,1.340096,103.7070117
NTUC FP Clementi Avenue 3,7,26,"451 Clementi Avenue 3, Singapore 120451, Singapore",120451,Clementi,1.3127067,103.7656936
Livewire (Resorts World Sentosa),7,35,"Resorts World Sentosa, 8 Sentosa Gateway, Singapore 098269, Singapore",098269,Southern Islands,1.2569732,103.8199962
Livewire (Marina Bay Sands),7,25,"Ippudo, 2 Bayfront Avenue, Singapore 018972, Singapore",018972,Downtown Core,1.2849822,103.8603664
Lee Eng Trading Store,7,30,"201B Tampines Street 21, Singapore 522201, Singapore",522201,Tampines,1.353252,103.9530247
Giant Sunshine Place,7,23,"458 Choa Chu Kang Avenue 4, Singapore 680458, Singapore",680458,Choa Chu Kang,1.3781087,103.7362
Evercool Engineering,7,23,"95 Lorong 4 Toa Payoh, Singapore 310095, Singapore",310095,Toa Payoh,1.3392316,103.849046
Xie Sheng Dept Service Co,6,22,"632 Bedok Reservoir Road, Singapore 470632, Singapore",470632,Bedok,1.332397,103.9146989
Vitatron & Medical Co,6,22,"60 Smith Street, Singapore 058968, Singapore",058968,Outram,1.2828995,103.8433133
Tay Sui Lan Agency,6,34,"The Arcade, 11 Collyer Quay, Singapore 049317, Singapore",049317,Downtown Core,1.2837058,103.8518051
Soh Choo Trading,6,28,"19 Marsiling Lane, Singapore 730019, Singapore",730019,Woodlands,1.4434316,103.7773369
Singapore Pools Woodlands N3 Branch,6,35,"305 Woodlands Street 31, Singapore 730305, Singapore",730305,Woodlands,1.4304237,103.7739168
Singapore Pools Tampines N4 Branch,6,15,"481 Tampines Street 44, Singapore 520481, Singapore",520481,Tampines,1.3616519,103.9532662
Singapore Pools Pasir Ris N2 Branch,6,33,"Pasir Ris Drive 1, Singapore 518070, Singapore",518070,Pasir Ris,1.3720937,103.9473728
Singapore Pools Lor 25A Geylang Branch,6,40,"Singapore Pools, Lorong 25A Geylang, Singapore 388250, Singapore",388250,Geylang,1.3155499,103.8831957
Singapore Pools Hougang N3 Branch,6,17,"322 Hougang Avenue 5, Singapore 530322, Singapore",530322,Hougang,1.3670641,103.8975025
Singapore Pools Gek Poh Shopping Centre,6,36,"Gek Poh Shopping Centre, 762 Jurong West Street 75, Singapore 640762, Singapore",640762,Jurong West,1.3492289,103.6974381
Singapore Pools Bishan N2 Branch,6,25,"Suwen TCM Clinic Pte Ltd, 215H Upper Thomson Road, Singapore 574355, Singapore",574355,Bishan,1.3525845,103.8352116
Singapore Pools Bedok Town Centre Branch,6,41,"212 Bedok North Street 1, Singapore 460212, Singapore",460212,Bedok,1.3259118,103.9315981
Singapore Pools Ang Mo Kio N6 Branch,6,28,"630 Ang Mo Kio Street 61, Singapore 560632, Singapore",560632,Ang Mo Kio,1.3804423,103.841199
Singapore Pools Ang Mo Kio N2 Branch,6,31,"North-South Corridor, Singapore 560728, Singapore",560728,Ang Mo Kio,1.3691149,103.8454342
Seah Koon Huat (Bukit Merah View),6,21,"116 Bukit Merah View, Singapore 150116, Singapore",150116,Bukit Merah,1.2850887,103.8212897
Prime Punggol Field,6,19,"Blk 102B, 102B Punggol Field, Singapore 820198, Singapore",820198,Punggol,1.399453,103.905639
NTUC FP Sun Plaza,6,27,"Sun Plaza, 30 Sembawang Drive, Singapore 757713, Singapore",757713,Sembawang,1.4481787,103.8194632
NTUC FP Serangoon North Avenue 1,6,22,"152B Serangoon North Avenue 1, Singapore 550152, Singapore",550152,Serangoon,1.3698238,103.8728765
NTUC FP Bukit Merah Central,6,29,"166 Bukit Merah Central, Singapore 150166, Singapore",150166,Bukit Merah,1.2831068,103.8178359
Metro Woodlands,6,22,"101 Woodlands Street 13, Singapore 730101, Singapore",730101,Woodlands,1.4361425,103.783
Kis Store,6,15,"Spectacle Culture, South Bridge Road, Singapore 058727, Singapore",058727,Outram,1.2846544,103.8468237
Hin Teck Leong Trading Company,6,0,"Little India, Rochor Canal Road, Singapore 188505, Singapore",188505,Rochor,1.3078063,103.8522
Chua Yan Kee,6,8,"49 Commonwealth Drive, Singapore 142049, Singapore",142049,Queenstown,1.3006782,103.7972567
Chng Siow Eng Agency,6,22,"Elias Mall, 625 Elias Road, Singapore 510625, Singapore",510625,Pasir Ris,1.3786144,103.9420438
Cheers Hougang Central,6,31,"811, CP, Singapore 530809, Singapore",530809,Hougang,1.3715527,103.8936459
Cheers Changi Village Road,6,36,"4 Changi Village Road, Singapore 500004, Singapore",500004,Changi,1.3891466,103.9874204
Wong Teck Chow Enterprise (Pte) Ltd,5,4,"Golden Landmark Shopping Centre, 390 Victoria Street, Singapore 188061, Singapore",188061,Rochor,1.3020404,103.8576952
Teo Sook Cheng Agency,5,53,"#01-261 Blk 293 Yishun St 22, Singapore 760264, Singapore",760264,Yishun,1.4359338,103.8380677
Singapore Pools Woodlands N5 Branch,5,28,"#01-37 Blk 548 Woodlands Drive 44, Vista Point, Singapore 730530, Singapore",730530,Woodlands,1.4313546,103.7940534
Singapore Pools Woodlands 888 Branch,5,37,"Woodlands Avenue 2, Singapore 738526, Singapore",738526,Woodlands,1.4381922,103.7889597
Singapore Pools Siglap Branch,5,16,"697D East Coast Road, Singapore 459062, Singapore",459062,Frankel,1.3120257,103.9221698
Singapore Pools Potong Pasir Branch,5,12,"62 Potong Pasir Avenue 1, Singapore 350121, Singapore",350121,Toa Payoh,1.3360597,103.8648815
Singapore Pools Jurong West N2 Branch,5,14,"Boon Lay Way, Singapore 642697, Singapore",642697,Jurong West,1.3403898,103.7089875
Singapore Pools Jurong East Branch,5,37,"351 Jurong East Street 31, Singapore 600351, Singapore",600351,Jurong East,1.3447228,103.7308172
Singapore Pools Clementi Town Centre Branch,5,52,"446 Clementi Avenue 3, Singapore 120446, Singapore",120446,Clementi,1.3123803,103.764809
Singapore Pools Choa Chu Kang Branch,5,38,"689B Choa Chu Kang Drive, Singapore 681672, Singapore",681672,Yew Tee,1.4030224,103.7497915
Singapore Pools Bukit Panjang Branch,5,35,"Blk 257 Bangkit Road, Singapore 670256, Singapore",670256,Bukit Panjang,1.3785549,103.7729193
Singapore Pools Ang Mo Kio N4 Branch,5,36,"447 Ang Mo Kio Avenue 10, Singapore 560447, Singapore",560447,Ang Mo Kio,1.3674091,103.8560374
Singapore Pools 64 Circuit Rd Branch,5,10,"64 Circuit Road, Singapore 370064, Singapore",370064,Geylang,1.3271128,103.8871285
Sheng Siong Junction 9,5,10,"Junction Nine, Yishun Avenue 9, Singapore 768897, Singapore",768897,Yishun,1.4332086,103.8419101
Prime Chai Chee,5,11,"750B Chai Chee Road, Singapore 460027, Singapore",460027,Bedok,1.3232446,103.9215
NTUC FP Yishun Ring Rd,5,26,"414 Yishun Ring Road, Singapore 760413, Singapore",760413,Yishun,1.4245498,103.8466415
NTUC FP White Sands,5,31,"570 Pasir Ris Street 53, Singapore 510570, Singapore",510570,Pasir Ris,1.3725642,103.9469
NTUC FP Havelock Road,5,4,"50 Beo Crescent, Singapore 160050, Singapore",160050,Bukit Merah,1.2898284,103.8267171
NTUC FP Boon Lay Place,5,40,"Jalan Buroh, Singapore 619175, Singapore",619175,Boon Lay,1.3142556,103.7093099
Ng Nam Thye Trading,5,21,"Taman Jurong Shopping Centre, 399 Yung Sheng Road, Singapore 610399, Singapore",610399,Jurong West,1.3345709,103.72059
Nan Huat Wine Store,5,32,"513 Bishan Street 13, Singapore 570513, Singapore",570513,Bishan,1.3495879,103.8494614
Lucky Hill,5,11,"Radin Mas Primary School, 1 Bukit Purmei Avenue, Singapore 099840, Singapore",099840,Bukit Merah,1.2745295,103.8233
Giant Parkway Parade,5,16,"Parkway Parade, 80 Marine Parade Road, Singapore 449269, Singapore",449269,Marine Parade,1.3013366,103.9052333
Everstream Trading,5,38,"283 Bukit Batok East Avenue 3, Singapore 650283, Singapore",650283,Bukit Batok,1.3471972,103.7576875
Dawn Florist,5,18,"Western Islands, Southwest, Singapore",,Western Islands,1.2745282,103.7433
Cold Storage Northpoint,5,25,"Northpoint City, 930 Yishun Avenue 2, Singapore 769098, Singapore",769098,Yishun,1.4293478,103.8358671
Clifford Gift Shop,5,32,"532 Ang Mo Kio Avenue 10, Singapore 560532, Singapore",560532,Ang Mo Kio,1.3738269,103.8551874
Cheers New Upper Changi Rd,5,20,"Sky Eden@Bedok (U/C), 799 New Upper Changi Road, Singapore 467351, Singapore",467351,Bedok,1.325244,103.932204
Afro Asia Co Pte Ltd,5,14,"322 Tengah Drive, Singapore 690322, Singapore",690322,Park,1.3651116,103.7381
7-Eleven Sixth Avenue,5,11,"11 Maple Avenue, Singapore 279886, Singapore",279886,Bukit Timah,1.3311169,103.7926
7-Eleven Owen Road,5,13,"44 Dorset Road, Singapore 218953, Singapore",218953,Kallang,1.3158217,103.8507664
Yeo Soon Huat,4,9,"70 Lorong 4 Toa Payoh, Singapore 310070, Singapore",310070,Toa Payoh,1.3343937,103.8524032
U Stars Sumang Walk,4,2,"Matilda Portico, 218 Sumang Walk, Singapore 820218, Singapore",820218,Punggol,1.4032997,103.8950457
Tuck Lee Long,4,19,"159 Ang Mo Kio Avenue 4, Singapore 560616, Singapore",560616,Ang Mo Kio,1.374789,103.8398767
Teo Khar Bee Agency,4,26,"72 Redhill Road, Singapore 150072, Singapore",150072,Bukit Merah,1.2872356,103.8162
Tay Ah Tho Trading,4,19,"768 Woodlands Avenue 6, Singapore 732799, Singapore",732799,Woodlands,1.445962,103.798159
Tan Kai Huat Provision Shop,4,14,"123 Hougang Avenue 1, Singapore 530123, Singapore",530123,Hougang,1.3533485,103.8861709
Singapore Pools Silat Ave Branch,4,11,"150 Silat Avenue, Singapore 160150, Singapore",160150,Bukit Merah,1.2770211,103.8314085
Singapore Pools LOT One Branch,4,11,"Lot One Shoppers' Mall, 21 Choa Chu Kang Avenue 4, Singapore 689812, Singapore",689812,Choa Chu Kang,1.3849961,103.7451511
Singapore Pools Jalan Tiga Branch,4,33,"41 Jalan Tiga, Singapore 390041, Singapore",390041,Geylang,1.3078367,103.8847076
Singapore Pools Ghim Moh Branch,4,13,"21 Ghim Moh Road, Singapore 270021, Singapore",270021,Queenstown,1.3100933,103.7884694
Singapore Pools Geylang Bahru Branch,4,16,"68 Geylang Bahru, Singapore 330068, Singapore",330068,Kallang,1.3222623,103.8704758
Singapore Pools Funan Branch,4,6,"Funan, 107 North Bridge Road, Singapore 179105, Singapore",179105,Downtown Core,1.2912647,103.8501932
Singapore Pools Chinatown Point Branch,4,55,"3 McCallum Street, Singapore 069047, Singapore",069047,Downtown Core,1.2796704,103.8475525
Singapore Pools Chin Swee Branch,4,14,"53 Chin Swee Road, Singapore 160053, Singapore",160053,Outram,1.2876753,103.8415514
Singapore Pools Cheong Chin Nam Rd Branch,4,21,"5 Cheong Chin Nam Road, Singapore 599744, Singapore",599744,Hillview,1.3424696,103.7753346
Singapore Pools Bukit Batok Central Branch,4,39,"642 Bukit Batok Central, Singapore 650642, Singapore",650642,Bukit Batok,1.3489923,103.7517942
Singapore Pools Beo Crescent Branch,4,20,"36 Beo Crescent, Singapore 160040, Singapore",160040,Bukit Merah,1.2883928,103.8270797
Singapore Pools Bedok North Branch,4,22,"Bedok North Road, Singapore 460516, Singapore",460516,Bedok,1.3306806,103.9305125
Singapore Pools 88 Circuit Rd Branch,4,21,"88 Pipit Road, Singapore 370088, Singapore",370088,Geylang,1.3236883,103.8858681
Sheng Moh Fruits & Provision Store,4,9,"1A Jalan Mas Puteh, Singapore 128607, Singapore",128607,Clementi,1.3083357,103.7621136
Prime Keat Hong,4,13,"Keat Hong Shopping Centre, 253 Choa Chu Kang Avenue 1, Singapore 680253, Singapore",680253,Choa Chu Kang,1.3780745,103.7442567
OCN (Singapore) Pte Ltd,4,30,"Hotel Clover Hongkong Street, Central Water Catchment, Singapore",,Central Water Catchment,1.352083,103.819836
NTUC FP Yung Kuang Road,4,15,"65 Yung Kuang Road, Singapore 610065, Singapore",610065,Jurong West,1.3322984,103.7226983
NTUC FP Warehouse Club,4,15,"82 Joo Koon Circle, Singapore 638356, Singapore",638356,Pioneer,1.3272042,103.6761
NTUC FP Thomson Plaza,4,33,"Thomson Plaza, 301 Upper Thomson Road, Singapore 574408, Singapore",574408,Bishan,1.3548,103.8308
NTUC FP Marine Parade Central,4,9,"84 Marine Parade Central, Singapore 440084, Singapore",440084,Marine Parade,1.302042,103.9065384
NTUC FP Lorong 4 Toa Payoh,4,15,"192 Lorong 4 Toa Payoh, Singapore 310192, Singapore",310192,Toa Payoh,1.3318475,103.8507613
NTUC FP E!Hub @ Downtown East,4,13,"Downtown East, 1 Pasir Ris Close, Singapore 519599, Singapore",519599,Pasir Ris,1.3774243,103.9549567
NTUC FP Clementi Avenue 2,4,14,"352 Clementi Avenue 2, Singapore 120352, Singapore",120352,Clementi,1.3144477,103.7711383
NTUC FP Changi Business Park,4,19,"Airport Boulevard, Singapore 819658, Singapore",819658,Changi,1.3450101,103.9832089
Ng Nam Thye Trading - Ang Mo Kio Ave 3,4,17,"51@AMK, 51 Ang Mo Kio Avenue 3, Singapore 569922, Singapore",569922,Ang Mo Kio,1.3692079,103.8470408
Golden Lagoon Trading,4,15,"136 Marsiling Road, Singapore 730136, Singapore",730136,Woodlands,1.4385524,103.7777004
Giant Beauty World Centre,4,23,"Beauty World Centre, 144 Upper Bukit Timah Road, Singapore 588177, Singapore",588177,,1.3422789,103.7761675
FP Xpress MacPherson,4,18,"Merpati Road, Singapore 370078, Singapore",370078,Geylang,1.3273112,103.8852397
Cold Storage Compass One,4,27,"Compass One, 1 Sengkang Square, Singapore 545078, Singapore",545078,Seng Kang,1.3917911,103.8948801
Chuan Hao Departmental Store,4,5,"Singapore Polytechnic, 500 Dover Road, Singapore 139651, Singapore",139651,Queenstown,1.3075788,103.7818
Chop Yeo Thong Heng,4,9,"83 Macpherson Lane, Singapore 368230, Singapore",368230,Macpherson,1.3316515,103.8853123
Chong Hoe Tong,4,16,"21 Lorong 7 Toa Payoh, Singapore 310021, Singapore",310021,Toa Payoh,1.3354867,103.857473
Cheng Chew Wah Agency,4,17,"20 Frankel Terrace, Singapore 416551, Singapore",416551,Frankel,1.3190577,103.9145234
Cheers Haig Rd,4,14,"12 Haig Road, Singapore 430012, Singapore",430012,Geylang,1.315608,103.8959868
7-Eleven McCallum Street,4,27,"3 McCallum Street, Singapore 069047, Singapore",069047,Downtown Core,1.2797323,103.8475943
7-Eleven Chua Chu Kang Drive,4,22,"Blk 689B, Choa Chu Kang Crescent, Singapore 681672, Singapore",681672,Choa Chu Kang,1.403112,103.7497763
7-Eleven Changi,4,16,"Airport Boulevard, Singapore 819658, Singapore",819658,Changi,1.3450101,103.9832089
Tan Ah Leck Trading Jurong East,3,4,"151 Bukit Batok Street 11, Singapore 650151, Singapore",650151,Bukit Batok,1.3486319,103.7443246
Tan Ah Leck Trading,3,23,"151 Bukit Batok Street 11, Singapore 650151, Singapore",650151,Bukit Batok,1.3486319,103.7443246
Superbowl Jurong Pte Ltd,3,22,"SuperBowl Jurong, 1 Yuan Ching Road, Singapore 618640, Singapore",618640,Jurong West,1.3259058,103.724653
Singapore Pools Yishun N2 Branch,3,21,"Yishun Avenue 5, Singapore 768794, Singapore",768794,Yishun,1.430368,103.8353628
Singapore Pools Telok Blangah Crescent Branch,3,19,"6 Telok Blangah Crescent, Singapore 090008, Singapore",090008,Bukit Merah,1.2781865,103.8186647
Singapore Pools Teban Gardens Branch,3,15,"37 Teban Gardens Road, Singapore 600037, Singapore",600037,,1.3205297,103.742544
Singapore Pools Sim Lim Square Branch,3,21,"Sim Lim Square, 1 Rochor Canal Road, Singapore 188504, Singapore",188504,Rochor,1.3030825,103.8528968
Singapore Pools Peace Centre Branch,3,17,"1 #03-01/02/03 Sophia Road Peace Centre, Singapore 188351, Singapore",188351,Rochor,1.3015125,103.8496184
Singapore Pools Pasir Ris N7 Branch,3,25,"Pasir Ris Drive 1, Singapore 518070, Singapore",518070,Pasir Ris,1.3720937,103.9473728
Singapore Pools Bukit Gombak Branch,3,26,"374 Bukit Batok Street 31, Singapore 650374, Singapore",650374,Bukit Batok,1.3583104,103.750449
Singapore Pools Ang Mo Kio N2A Branch,3,23,"North-South Corridor, Singapore 560728, Singapore",560728,Ang Mo Kio,1.3691149,103.8454342
Sheng Siong Tanglin Halt Road,3,19,"Commonwealth View, 88 Tanglin Halt Road, Singapore 141088, Singapore",141088,Queenstown,1.3013864,103.79844
Seah Geok Eng Agency,3,31,"Rivervale Plaza, 118 Rivervale Drive, Singapore 540118, Singapore",540118,Seng Kang,1.385716,103.9020016
NTUC FP Yew Tee Point,3,19,"Yew Tee Point, Choa Chu Kang North 6, Singapore 689580, Singapore",689580,Choa Chu Kang,1.3974014,103.7467406
NTUC FP Woodlands Civic Centre,3,19,"Woodlands Civic Centre, 900 South Woodlands Drive, Singapore 730900, Singapore",730900,Woodlands,1.4350059,103.7869203
NTUC FP Tampines St 44,3,12,"475 Tampines Street 44, Singapore 520471, Singapore",520471,Tampines,1.3603807,103.9532074
NTUC FP Tampines St  83,3,19,"Tampines Central Community Club, 866A Tampines Street 83, Singapore 521866, Singapore",521866,Tampines,1.3554401,103.9346654
NTUC FP Rivervale Mall,3,8,"Rivervale Mall, 11 Rivervale Crescent, Singapore 545082, Singapore",545082,Seng Kang,1.3919537,103.9047236
NTUC FP New Upper Changi Road,3,17,"57 New Upper Changi Road, Singapore 461057, Singapore",461057,Bedok,1.3246666,103.9414375
NTUC FP Marsiling MRT Station,3,20,"71 Woodlands Avenue 3, Singapore 739044, Singapore",739044,Woodlands West,1.4323902,103.7741183
NTUC FP Limbang Shopping Centre,3,15,"Limbang Shopping Centre, Choa Chu Kang North 5, Singapore 680533, Singapore",680533,Choa Chu Kang,1.3920843,103.7433168
NTUC FP Jem,3,40,"JEM, 50 Jurong Gateway Road, Singapore 608549, Singapore",608549,Jurong East,1.332647,103.7433111
NTUC FP Century Square,3,4,"Century Square, 2 Tampines Central 5, Singapore 529509, Singapore",529509,Tampines,1.3525968,103.9436741
NTUC FP Bukit Panjang Plaza,3,21,"Bukit Panjang Plaza, 1 Jelebu Road, Singapore 677743, Singapore",677743,Bukit Panjang,1.3803722,103.7642617
Nalayanee Trading Enterprise,3,12,"129 Upper Paya Lebar Road, Singapore 534829, Singapore",534829,Toa Payoh,1.3384901,103.8864474
Lim Heng Ee Trading Pte. Ltd.,3,15,"41 Kallang Place, Singapore 339153, Singapore",339153,Kallang Bahru,1.3155916,103.8693
Li Thoe Trading,3,23,"119 Aljunied Avenue 2, Singapore 380119, Singapore",380119,Geylang,1.3192072,103.886444
Kwek Lee Eng Agency,3,17,"Textile Centre, 200 Jalan Sultan, Singapore 199018, Singapore",199018,Kallang,1.3038262,103.8614018
Kim Chwee Trading,3,18,"Blk A #01-04 Kaki Bukit Avenue 6, Singapore 417883, Singapore",417883,Paya Lebar,1.341353,103.912393
Hougang United Football Club,3,5,"617, Hougang Avenue 2, Singapore 530631, Singapore",530631,Hougang,1.3695122,103.8834
Giant Pioneer Mall,3,21,"Pioneer Mall, 638 Jurong West Street 61, Singapore 640638, Singapore",640638,Jurong West,1.3418699,103.6973858
Giant Paya Lebar Square,3,22,"Paya Lebar Square, 60 Paya Lebar Road, Singapore 409051, Singapore",409051,Geylang,1.3191135,103.8924858
Giant Compassvale Bow,3,14,"266 Compassvale Bow, Singapore 540266, Singapore",540266,Seng Kang,1.3817505,103.8969228
Everbright  Services,3,18,"Depot Heights Shopping Centre, 108 Depot Road, Singapore 100108, Singapore",100108,Bukit Merah,1.2812742,103.8099871
Chua Hong Kim Trading,3,25,"237 Serangoon Avenue 3, Singapore 550253, Singapore",550253,Serangoon,1.3536057,103.8698424
7-Eleven Sin Ming,3,13,"244 Upper Thomson Road, Singapore 574369, Singapore",574369,Bishan,1.3533996,103.8346195
7-Eleven Plaza Singapura,3,19,"Plaza Singapura, 68 Orchard Road, Singapore 238839, Singapore",238839,Museum,1.3003302,103.8451764
7-Eleven Circular Rd,3,11,"73 Circular Road, Singapore 049423, Singapore",049423,Singapore River,1.2866714,103.8490196
7-Eleven Big Mac Centre,3,1,"51@AMK, 51 Ang Mo Kio Avenue 3, Singapore 569922, Singapore",569922,Ang Mo Kio,1.3692898,103.8471818
