Outlet,Group 1 Wins,Group 2 Wins,Full Address,Postal Code,Area,Latitude,Longitude
Singapore Pools Account Betting Service,98,580,"Central Catchment Nature Reserve, Pan-Island Expressway, Singapore 588186, Singapore",588186,Bukit Timah,1.3749916,103.8033
Delisia Agency Pte Ltd,18,79,"Fu Lu Shou Complex, 149 Rochor Road, Singapore 188425, Singapore",188425,Rochor,1.3012117,103.8545325
Tong Aik Huat,14,102,"685 Hougang Street 61, Singapore 530685, Singapore",530685,Hougang,1.374993,103.8858538
NTUC FP Nex,14,58,"325 Serangoon Avenue 3, Singapore 550325, Singapore",550325,Serangoon,1.3506853,103.8694
Singapore Pools Suntec City,13,27,"Suntec City, 3 Temasek Boulevard, Singapore 038983, Singapore",038983,Downtown Core,1.295664,103.8585812
Singapore Pools King George's Ave Branch,13,28,"803 King George's Avenue, Singapore 200803, Singapore",200803,Kallang,1.3080582,103.8611995
Fatt Chye Heng Trading,13,42,"7 Hougang Avenue 3, Singapore 531376, Singapore",531376,Hougang,1.3622768,103.8932954
Tan Wee Fong Trading,12,58,"24 Bendemeer Road, Singapore 330024, Singapore",330024,Kallang,1.3185181,103.8625287
Mee Lee Cheong Pte Ltd,12,44,"139 Tampines Street 11, Singapore 521139, Singapore",521139,Tampines,1.3460554,103.9446434
Singapore Pools Lor 1 Toa Payoh Branch,11,33,"111 Lorong 1 Toa Payoh, Singapore 310111, Singapore",310111,Toa Payoh,1.3412566,103.8456517
Singapore Pools Clementi N7 Branch,11,28,"722 Clementi West Street 2, Singapore 120722, Singapore",120722,Clementi,1.302885,103.7637968
NTUC FP Tampines Mall,11,40,"Tampines Mall, 4 Tampines Central 5, Singapore 529509, Singapore",529509,Tampines,1.3523484,103.944448
Ng Teo Guan Self Service,11,59,"301 Ubi Avenue 1, Singapore 400301, Singapore",400301,Geylang,1.3307113,103.9020287
Singapore Pools Whampoa Dr Branch,10,40,"88 Whampoa Drive, Singapore 320089, Singapore",320089,Novena,1.323243,103.8552345
Singapore Pools Tanjong Pagar Branch,10,47,"Tanjong Pagar Plaza, 1 Tanjong Pagar Road, Singapore 082001, Singapore",082001,Outram,1.2754372,103.8429027
Singapore Pools Hougang N2 Branch,10,48,"211 Hougang Street 21, Singapore 530211, Singapore",530211,Hougang,1.3598611,103.8878231
Singapore Pools Hougang N1 Branch,10,34,"941 Upper Serangoon Road, Singapore 534711, Singapore",534711,Hougang,1.3612182,103.8862529
NTUC FP AMK Hub,10,43,"Ang Mo Kio Hub, 53 Ang Mo Kio Avenue 3, Singapore 569933, Singapore",569933,Ang Mo Kio,1.3690023,103.8481594
Laura's Gifts,10,25,"442 Pasir Ris Drive 6, Singapore 510442, Singapore",510442,Pasir Ris,1.3688937,103.9582616
7-Eleven Yishun Ring Road,10,44,"760 Yishun Avenue 3, Singapore 760774, Singapore",760774,Yishun,1.4260651,103.8321027
7-Eleven Eunos Crescent,10,28,"5 Eunos Crescent, Singapore 400005, Singapore",400005,Geylang,1.3215159,103.9037403
Tampines Trading 828,9,40,"828 Tampines Street 81, Singapore 520828, Singapore",520828,Tampines,1.3488425,103.9352547
Singapore Pools Yishun N1 Branch,9,42,"Yishun Avenue 5, Singapore 768794, Singapore",768794,Yishun,1.430368,103.8353628
Singapore Pools Teck Whye Branch,9,31,"141 Teck Whye Lane, Singapore 680141, Singapore",680141,Choa Chu Kang,1.3804868,103.7523188
Singapore Pools IMM Branch,9,35,"IMM, 2 Jurong East Street 21, Singapore 609601, Singapore",609601,Jurong East,1.334992,103.747156
Singapore Pools Bencoolen Branch,9,39,"The Bencoolen, Seah Street, Singapore 188382, Singapore",188382,Downtown Core,1.3019569,103.8531623
Rangoon Provision Shop,9,27,"681 Race Course Road, Singapore 218123, Singapore",218123,Kallang,1.3139744,103.8550342
NTUC FP Toa Payoh HDB Centre,9,25,"Toa Payoh East, Singapore 311019, Singapore",311019,Toa Payoh,1.3343035,103.8563265
NTUC FP Jurong East Gateway Road,9,38,"JEM, 50 Jurong Gateway Road, Singapore 608549, Singapore",608549,Jurong East,1.3328572,103.7435522
Jake Merchandise Associates,9,29,"504 Tampines Central 1, Singapore 520501, Singapore",520501,Tampines,1.3564777,103.9456697
Wanrise,8,32,"47 Sims Place, Singapore 380047, Singapore",380047,Geylang,1.3179319,103.8790692
Tan Boon Tin Agency,8,23,"56 Marine Crescent, Singapore 440056, Singapore",440056,Marine Parade,1.3056035,103.9153585
Singapore Pools Tampines Mart Branch,8,19,"Tampines Mart, Tampines Street 34, Singapore 520358, Singapore",520358,Tampines,1.3544742,103.9602966
Singapore Pools Lor 8 Toa Payoh Branch,8,24,"212 Lorong 8 Toa Payoh, Singapore 310212, Singapore",310212,Toa Payoh,1.3406805,103.8542859
Singapore Pools Jurong West N4 Branch,8,41,"498 Jurong West Street 41, Singapore 640498, Singapore",640498,Jurong West,1.3488039,103.7244554
Singapore Pools Chinatown Branch,8,54,"3 McCallum Street, Singapore 069047, Singapore",069047,Downtown Core,1.2796704,103.8475525
PFG Framing & Trading,8,33,"960 Jurong West Street 92, Singapore 640960, Singapore",640960,Jurong West,1.3413833,103.6917323
NTUC FP Yishun MRT Station,8,30,"Yishun Avenue 2, Singapore 769093, Singapore",769093,Yishun,1.429387,103.8350907
NTUC FP Lot 1 Shoppers Mall,8,24,"Lot One Shoppers' Mall, 21 Choa Chu Kang Avenue 4, Singapore 689812, Singapore",689812,Choa Chu Kang,1.384959,103.7451389
